1,"bang,",b,4,4
3,bang.,b,4,4
1,"no,",b,5,4
2,bring,b,5,4
3,it,b,5,4
4,back,b,5,4
5,to,b,5,4
6,"me,",b,5,4
7,"Thomas,",b,5,4
8,please.,b,5,4
1,I'm,b,6,4
2,just,b,6,4
3,putting,b,6,4
4,out,b,6,4
5,the,b,6,4
6,"fire,",b,6,4
7,"psst,",b,6,4
8,and,b,6,4
5,the,b,6,4
10,hose,b,6,4
11,is,b,6,4
12,here.,b,6,4
1,I,b,7,4
2,thought,b,7,4
3,you,b,7,4
4,would,b,7,4
5,turn,b,7,4
6,it,b,7,4
7,into,b,7,4
8,a,b,7,4
9,hosepipe,b,7,4
10,because,b,7,4
11,it's,b,7,4
8,a,b,7,4
13,bit,b,7,4
14,like,b,7,4
8,a,b,7,4
16,curly,b,7,4
17,cable,b,7,4
18,isn't,b,7,4
19,it?,b,7,4
1,I,a,1,5
2,did,a,1,5
3,not,a,1,5
4,do,a,1,5
5,this,a,1,5
6,at,a,1,5
7,all.,a,1,5
1,a,a,2,5
2,bit,a,2,5
3,of,a,2,5
4,"patience,",a,2,5
5,you,a,2,5
6,made,a,2,5
7,one.,a,2,5
1,"no,",a,3,5
2,I,a,3,5
3,"didn't,",a,3,5
4,you,a,3,5
5,maded,a,3,5
6,it.,a,3,5
1,"well,",a,4,5
2,you,a,4,5
3,make,a,4,5
4,the,a,4,5
5,next,a,4,5
6,one,a,4,5
7,and,a,4,5
8,I'll,a,4,5
9,slot,a,4,5
10,it,a,4,5
11,in,a,4,5
4,the,a,4,5
13,top.,a,4,5
1,no.,a,5,5
1,no?,a,6,5
1,no.,a,7,5
1,I,b,1,5
2,did,b,1,5
3,not,b,1,5
4,do,b,1,5
5,this,b,1,5
6,at,b,1,5
7,all.,b,1,5
1,a,b,2,5
2,bit,b,2,5
3,of,b,2,5
4,"patience,",b,2,5
5,you,b,2,5
6,made,b,2,5
7,one.,b,2,5
1,"no,",b,3,5
2,I,b,3,5
3,"didn't,",b,3,5
4,you,b,3,5
5,made,b,3,5
6,it.,b,3,5
1,"well,",b,4,5
2,you,b,4,5
3,make,b,4,5
4,the,b,4,5
5,next,b,4,5
6,one,b,4,5
7,and,b,4,5
8,I'll,b,4,5
9,slot,b,4,5
10,it,b,4,5
11,in,b,4,5
4,the,b,4,5
13,top.,b,4,5
1,no.,b,5,5
1,no?,b,6,5
1,no.,b,7,5
1,we've,a,1,6
2,got,a,1,6
3,to,a,1,6
4,practise,a,1,6
5,a,a,1,6
6,little,a,1,6
7,bit,a,1,6
8,of,a,1,6
9,"drawing,",a,1,6
10,Thomas.,a,1,6
1,"no,",a,2,6
2,don't,a,2,6
3,want,a,2,6
4,to,a,2,6
5,because,a,2,6
6,I've,a,2,6
7,drawed,a,2,6
8,some,a,2,6
9,already.,a,2,6
1,no?,a,3,6
1,at,a,4,6
2,school.,a,4,6
1,"well,",a,5,6
2,"love,",a,5,6
3,we're,a,5,6
4,not,a,5,6
5,at,a,5,6
6,school,a,5,6
7,now.,a,5,6
1,we've,b,1,6
2,got,b,1,6
3,to,b,1,6
4,practise,b,1,6
5,a,b,1,6
6,little,b,1,6
7,bit,b,1,6
8,of,b,1,6
9,"drawing,",b,1,6
10,Thomas.,b,1,6
1,"no,",b,2,6
2,don't,b,2,6
3,want,b,2,6
4,to,b,2,6
5,because,b,2,6
6,I've,b,2,6
7,drawn,b,2,6
8,some,b,2,6
9,already.,b,2,6
1,no?,b,3,6
1,at,b,4,6
2,school.,b,4,6
1,"well,",b,5,6
2,"love,",b,5,6
3,we're,b,5,6
4,not,b,5,6
5,at,b,5,6
6,school,b,5,6
7,now.,b,5,6
1,what,a,1,7
2,have,a,1,7
3,you,a,1,7
4,hidden,a,1,7
5,behind,a,1,7
6,those,a,1,7
7,bubbles?,a,1,7
1,"um,",a,2,7
2,Scoop,a,2,7
3,falled,a,2,7
4,in,a,2,7
5,there.,a,2,7
1,did,a,3,7
2,he?,a,3,7
1,yes.,a,4,7
1,what,b,1,7
2,have,b,1,7
3,you,b,1,7
4,hidden,b,1,7
5,behind,b,1,7
6,those,b,1,7
7,bubbles?,b,1,7
1,"um,",b,2,7
2,Scoop,b,2,7
3,fell,b,2,7
4,in,b,2,7
5,there.,b,2,7
1,did,b,3,7
2,he?,b,3,7
1,yes.,b,4,7
1,the,a,1,8
2,ball,a,1,8
3,went,a,1,8
4,over,a,1,8
5,our,a,1,8
6,fence.,a,1,8
1,"well,",a,2,8
2,I,a,2,8
3,think,a,2,8
4,if,a,2,8
5,the,a,2,8
6,ball,a,2,8
7,went,a,2,8
8,over,a,2,8
9,our,a,2,8
10,fence,a,2,8
11,when,a,2,8
2,I,a,2,8
13,wasn't,a,2,8
14,looking,a,2,8
15,it'd,a,2,8
16,still,a,2,8
17,be,a,2,8
18,"there,",a,2,8
19,wouldn't,a,2,8
20,it?,a,2,8
1,I,a,3,8
2,throwed,a,3,8
3,it,a,3,8
4,back,a,3,8
5,for,a,3,8
6,them.,a,3,8
1,did,a,4,8
2,you?,a,4,8
1,uh-huh.,a,5,8
1,right.,a,6,8
1,the,b,1,8
2,ball,b,1,8
3,went,b,1,8
4,over,b,1,8
5,our,b,1,8
6,fence.,b,1,8
1,"well,",b,2,8
2,I,b,2,8
3,think,b,2,8
4,if,b,2,8
5,the,b,2,8
6,ball,b,2,8
7,went,b,2,8
8,over,b,2,8
9,our,b,2,8
10,fence,b,2,8
11,when,b,2,8
2,I,b,2,8
13,wasn't,b,2,8
14,looking,b,2,8
15,it'd,b,2,8
16,still,b,2,8
17,be,b,2,8
18,"there,",b,2,8
19,wouldn't,b,2,8
20,it?,b,2,8
1,I,b,3,8
2,threw,b,3,8
3,it,b,3,8
4,back,b,3,8
5,for,b,3,8
6,them.,b,3,8
1,did,b,4,8
2,you?,b,4,8
1,uh-huh.,b,5,8
1,right.,b,6,8
1,there,a,1,9
2,was,a,1,9
3,lots,a,1,9
4,of,a,1,9
5,water,a,1,9
6,all,a,1,9
7,over,a,1,9
8,the,a,1,9
9,place,a,1,9
10,and,a,1,9
11,Firefighter,a,1,9
12,who,a,1,9
13,fell,a,1,9
14,on,a,1,9
8,the,a,1,9
16,floor?,a,1,9
1,"no,",a,2,9
2,he,a,2,9
3,lied,a,2,9
4,on,a,2,9
5,the,a,2,9
6,floor.,a,2,9
1,he,a,3,9
2,lay,a,3,9
3,on,a,3,9
4,the,a,3,9
5,"floor,",a,3,9
6,did,a,3,9
1,he,a,3,9
8,slip,a,3,9
3,on,a,3,9
4,the,a,3,9
11,water,a,3,9
12,is,a,3,9
13,that,a,3,9
14,why,a,3,9
1,he,a,3,9
16,was,a,3,9
17,lying,a,3,9
3,on,a,3,9
4,the,a,3,9
20,floor?,a,3,9
1,yes.,a,4,9
1,I,a,5,9
2,see.,a,5,9
1,there,b,1,9
2,was,b,1,9
3,lots,b,1,9
4,of,b,1,9
5,water,b,1,9
6,all,b,1,9
7,over,b,1,9
8,the,b,1,9
9,place,b,1,9
10,and,b,1,9
11,Firefighter,b,1,9
12,who,b,1,9
13,fell,b,1,9
14,on,b,1,9
8,the,b,1,9
16,floor?,b,1,9
1,"no,",b,2,9
2,he,b,2,9
3,lay,b,2,9
4,on,b,2,9
5,the,b,2,9
6,floor.,b,2,9
1,he,b,3,9
2,lay,b,3,9
3,on,b,3,9
4,the,b,3,9
5,"floor,",b,3,9
6,did,b,3,9
1,he,b,3,9
8,slip,b,3,9
3,on,b,3,9
4,the,b,3,9
11,water,b,3,9
12,is,b,3,9
13,that,b,3,9
14,why,b,3,9
1,he,b,3,9
16,was,b,3,9
17,lying,b,3,9
3,on,b,3,9
4,the,b,3,9
20,floor?,b,3,9
1,yes.,b,4,9
1,I,b,5,9
2,see.,b,5,9
1,she,a,1,10
2,had,a,1,10
3,to,a,1,10
4,go,a,1,10
3,to,a,1,10
6,the,a,1,10
7,shop,a,1,10
8,and,a,1,10
9,buy,a,1,10
10,another,a,1,10
11,"one,",a,1,10
12,didn't,a,1,10
13,she?,a,1,10
1,then,a,2,10
2,they,a,2,10
3,said,a,2,10
2,they,a,2,10
5,selled,a,2,10
6,them.,a,2,10
1,and,a,3,10
2,they,a,3,10
3,didn't,a,3,10
4,sell,a,3,10
5,them.,a,3,10
1,no.,a,4,10
1,I,a,5,10
2,think,a,5,10
3,her,a,5,10
4,nephew,a,5,10
5,sent,a,5,10
3,her,a,5,10
7,a,a,5,10
8,teapot,a,5,10
9,in,a,5,10
10,the,a,5,10
11,post,a,5,10
12,for,a,5,10
7,a,a,5,10
14,birthday,a,5,10
15,present,a,5,10
16,and,a,5,10
17,she,a,5,10
18,was,a,5,10
19,really,a,5,10
20,proud,a,5,10
21,of,a,5,10
22,"it,",a,5,10
23,wasn't,a,5,10
24,she?,a,5,10
1,she,b,1,10
2,had,b,1,10
3,to,b,1,10
4,go,b,1,10
3,to,b,1,10
6,the,b,1,10
7,shop,b,1,10
8,and,b,1,10
9,buy,b,1,10
10,another,b,1,10
11,"one,",b,1,10
12,didn't,b,1,10
13,she?,b,1,10
1,then,b,2,10
2,they,b,2,10
3,said,b,2,10
2,they,b,2,10
5,sold,b,2,10
6,them.,b,2,10
1,and,b,3,10
2,they,b,3,10
3,didn't,b,3,10
4,sell,b,3,10
5,them.,b,3,10
1,no.,b,4,10
1,I,b,5,10
2,think,b,5,10
3,her,b,5,10
4,nephew,b,5,10
5,sent,b,5,10
3,her,b,5,10
7,a,b,5,10
8,teapot,b,5,10
9,in,b,5,10
10,the,b,5,10
11,post,b,5,10
12,for,b,5,10
7,a,b,5,10
14,birthday,b,5,10
15,present,b,5,10
16,and,b,5,10
17,she,b,5,10
18,was,b,5,10
19,really,b,5,10
20,proud,b,5,10
21,of,b,5,10
22,"it,",b,5,10
23,wasn't,b,5,10
24,she?,b,5,10
1,what,a,1,11
2,happened,a,1,11
3,to,a,1,11
4,your,a,1,11
5,drink,a,1,11
6,of,a,1,11
7,"milk,",a,1,11
8,Thomas?,a,1,11
1,I,a,2,11
2,drinked,a,2,11
3,it,a,2,11
4,all.,a,2,11
1,I,a,3,11
2,know,a,3,11
3,but,a,3,11
4,what,a,3,11
5,happened,a,3,11
6,to,a,3,11
7,the,a,3,11
8,bottle?,a,3,11
1,"okay,",a,4,11
2,I'll,a,4,11
3,get,a,4,11
4,it.,a,4,11
1,have,a,5,11
2,you,a,5,11
3,hidden,a,5,11
4,it,a,5,11
