trial,word_response_time,stimulus,display_order,target_word,word_in_utterance,utterance_in_exchange,speaker,is_test_utterance,kid,true_display_order,version,ac_rt,correct_key_code,pressed_key_code,passed_ac,subj,utterance
8,214,water,5,NULL,5,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,192,all,5,NULL,6,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,201,over,5,NULL,7,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,219,the,5,NULL,8,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,190,place,5,NULL,9,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,206,and,5,NULL,10,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,209,Firefighter,5,NULL,11,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,205,who,5,NULL,12,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,239,fell,5,NULL,13,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,213,on,5,NULL,14,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,192,the,5,NULL,15,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,209,floor?,5,NULL,16,1,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,there was lots of water all over the place and Firefighter who fell on the floor?
8,549,"no,",5,lied,1,2,CHILD,TRUE,Thomas,3,u,1416,left,left,TRUE,1,"no, he lied on the floor."
8,206,he,5,lied,2,2,CHILD,TRUE,Thomas,3,u,1416,left,left,TRUE,1,"no, he lied on the floor."
8,186,lied,5,lied,3,2,CHILD,TRUE,Thomas,3,u,1416,left,left,TRUE,1,"no, he lied on the floor."
8,206,on,5,lied,4,2,CHILD,TRUE,Thomas,3,u,1416,left,left,TRUE,1,"no, he lied on the floor."
8,188,the,5,lied,5,2,CHILD,TRUE,Thomas,3,u,1416,left,left,TRUE,1,"no, he lied on the floor."
8,195,floor.,5,lied,6,2,CHILD,TRUE,Thomas,3,u,1416,left,left,TRUE,1,"no, he lied on the floor."
8,540,he,5,NULL,1,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,163,lay,5,NULL,2,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,202,on,5,NULL,3,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
8,185,the,5,NULL,4,3,MOTHER,FALSE,Thomas,3,u,1416,left,left,TRUE,1,"he lay on the floor, did he slip on the water is that why he was lying on the floor?"
