age,total_tokens,overreg_tokens,error_tokens,or_rate,error_rate,or_of_err
24,3739,0,210,0,5.61647499331372,0
25,7565,0,135,0,1.784534038334435,0
26,6465,5,70,0.07733952049497293,1.082753286929621,7.142857142857142
27,6833,0,84,0,1.2293282599151178,0
28,7757,2,128,0.025783163594173004,1.6501224700270722,1.5625
29,5590,1,81,0.017889087656529516,1.4490161001788908,1.2345679012345678
30,6760,2,132,0.02958579881656805,1.9526627218934909,1.5151515151515151
31,7255,5,121,0.06891798759476223,1.667815299793246,4.132231404958678
32,5217,1,92,0.019168104274487254,1.7634655932528271,1.0869565217391304
33,9422,11,412,0.11674803651029506,4.372744640203778,2.669902912621359
34,6476,5,345,0.0772081531809759,5.327362569487338,1.4492753623188406
35,5761,10,238,0.17358097552508245,4.131227217496963,4.201680672268908
36,5924,11,216,0.18568534773801484,3.6461850101282915,5.092592592592593
37,6892,3,293,0.04352872896111434,4.2513058618688335,1.023890784982935
38,3140,8,96,0.25477707006369427,3.0573248407643314,8.333333333333332
39,2001,4,50,0.19990004997501248,2.498750624687656,8
40,1932,2,219,0.10351966873706005,11.335403726708075,0.91324200913242
41,1511,2,139,0.13236267372600927,9.199205823957644,1.4388489208633095
42,2003,3,224,0.14977533699450823,11.183225162256614,1.3392857142857142
43,1706,6,114,0.3516998827667058,6.682297772567409,5.263157894736842
44,1620,1,91,0.06172839506172839,5.617283950617284,1.098901098901099
45,1519,0,82,0,5.398288347597104,0
46,1544,1,49,0.06476683937823835,3.173575129533679,2.0408163265306123
47,1627,1,88,0.06146281499692685,5.408727719729564,1.1363636363636365
48,912,3,22,0.3289473684210526,2.4122807017543857,13.636363636363635
49,2099,0,43,0,2.048594568842306,0
50,1842,2,47,0.10857763300760044,2.5515743756786105,4.25531914893617
51,1913,0,78,0,4.077365394668061,0
52,1845,0,61,0,3.3062330623306235,0
53,1965,3,97,0.15267175572519084,4.936386768447837,3.0927835051546393
54,1969,5,86,0.25393600812595224,4.367699339766379,5.813953488372093
55,1681,7,48,0.41641879833432477,2.855443188578227,14.583333333333334
56,2209,5,52,0.22634676324128564,2.3540063377093707,9.615384615384617
57,2058,1,50,0.048590864917395525,2.4295432458697768,2
58,2341,4,53,0.17086715079026057,2.2639897479709523,7.547169811320755
59,1957,7,77,0.35769034236075625,3.9345937659683186,9.090909090909092
